phone_id,hinge_gap,left_support_gap,right_support_gap,torsion_delta,panel_flushness,adhesive_thickness
P0001,0.224477,0.130228,0.086116,0.031981,0.018722,0.143110
P0002,0.097597,0.078243,0.162257,0.116861,0.016936,0.151446
P0003,0.094075,0.084360,0.081214,0.026387,0.091347,0.094723
P0004,0.103552,0.084366,0.078691,0.027178,0.019696,0.141114
P0005,0.187155,0.127068,0.083451,0.031695,0.022573,0.146757
P0006,0.100562,0.078083,0.134711,0.099479,0.022238,0.140687
P0007,0.092571,0.089800,0.086245,0.026345,0.080503,0.103505
P0008,0.109689,0.083271,0.074622,0.033361,0.021796,0.150138
P0009,0.212230,0.156661,0.077105,0.032049,0.017688,0.151888
P0010,0.095402,0.073661,0.148185,0.101352,0.022518,0.154148
P0011,0.096065,0.077547,0.070940,0.031821,0.107077,0.120127
P0012,0.101100,0.088898,0.083798,0.032931,0.023721,0.157974
P0013,0.207226,0.147824,0.077330,0.034909,0.019045,0.152774
P0014,0.095606,0.083297,0.141422,0.099757,0.022604,0.159390
P0015,0.096268,0.084335,0.085353,0.031670,0.076958,0.108166
P0016,0.092934,0.087227,0.077115,0.027094,0.022832,0.149177
P0017,0.194770,0.146377,0.087690,0.028395,0.017274,0.144242
P0018,0.098811,0.087499,0.154792,0.119712,0.020587,0.152947
P0019,0.093851,0.084803,0.080315,0.030948,0.079013,0.120273
P0020,0.100639,0.077240,0.089012,0.034334,0.020521,0.154812
P0021,0.187307,0.152903,0.079230,0.031431,0.020471,0.159904
P0022,0.099816,0.089285,0.160757,0.116979,0.020056,0.152853
P0023,0.108786,0.070218,0.082287,0.032584,0.112051,0.099752
P0024,0.105993,0.073613,0.076680,0.025658,0.021592,0.140853
