phone_id,hinge_gap,left_support_gap,right_support_gap,torsion_delta,panel_flushness,adhesive_thickness
P0001,0.102281,0.086898,0.088176,0.047562,0.019648,0.150699
P0002,0.099019,0.102318,0.070833,0.028863,0.021124,0.136555
P0003,0.109424,0.075995,0.073155,0.029342,0.020260,0.151649
P0004,0.128358,0.073564,0.085658,0.048033,0.024936,0.159792
P0005,0.136938,0.092729,0.095621,0.041777,0.023958,0.142693
P0006,0.138864,0.108766,0.086471,0.034870,0.020150,0.141897
P0007,0.112249,0.104105,0.098952,0.025165,0.021916,0.160417
P0008,0.111221,0.082478,0.098502,0.047441,0.016946,0.153505
P0009,0.134692,0.088211,0.090089,0.026306,0.024717,0.142118
P0010,0.116042,0.098240,0.076668,0.026932,0.028609,0.140485
P0011,0.129653,0.072699,0.091216,0.025669,0.018146,0.160031
P0012,0.105572,0.071297,0.071391,0.046015,0.023044,0.145603
P0013,0.146839,0.088007,0.096345,0.032948,0.022249,0.141378
P0014,0.102506,0.099476,0.087555,0.041147,0.021596,0.152006
P0015,0.145669,0.105319,0.074231,0.037285,0.026275,0.162688
P0016,0.103755,0.083347,0.087099,0.033225,0.017365,0.157068
P0017,0.111419,0.091385,0.093998,0.026926,0.021915,0.146270
P0018,0.138879,0.089446,0.085576,0.047439,0.016842,0.143755
P0019,0.117896,0.086267,0.096726,0.027912,0.017109,0.133294
P0020,0.120176,0.089784,0.091617,0.028309,0.019465,0.137739
P0021,0.117237,0.108344,0.088019,0.044043,0.025791,0.160849
P0022,0.130470,0.103838,0.087836,0.044006,0.023790,0.150478
P0023,0.122767,0.076021,0.083971,0.028923,0.023029,0.145670
P0024,0.133441,0.097266,0.078935,0.030905,0.025128,0.152723
P0025,0.101711,0.074622,0.071978,0.035847,0.025447,0.139202
P0026,0.118295,0.087020,0.087742,0.030046,0.023878,0.151960
P0027,0.125853,0.100054,0.077467,0.041428,0.019392,0.155225
P0028,0.138800,0.105641,0.086313,0.027584,0.021838,0.148638
P0029,0.149345,0.099945,0.082836,0.034560,0.025348,0.136038
P0030,0.135340,0.083249,0.099661,0.044390,0.019797,0.160509
P0031,0.113491,0.081362,0.100822,0.033768,0.026488,0.138440
P0032,0.133663,0.069478,0.075714,0.036608,0.016183,0.149002
P0033,0.138170,0.087366,0.079971,0.044759,0.016918,0.140487
P0034,0.103073,0.085143,0.101943,0.044574,0.027512,0.150177
P0035,0.145245,0.088537,0.089505,0.030472,0.028359,0.159587
P0036,0.119461,0.110957,0.079232,0.038220,0.018161,0.162858
P0037,0.113346,0.102433,0.090934,0.039252,0.017831,0.139996
P0038,0.133982,0.077290,0.097069,0.032898,0.022595,0.151428
P0039,0.119053,0.072230,0.094530,0.030820,0.018327,0.156570
P0040,0.099698,0.096049,0.076867,0.025664,0.020505,0.134877
P0041,0.118139,0.088624,0.071141,0.028894,0.026007,0.144625
P0042,0.141191,0.092822,0.087887,0.040995,0.028206,0.134298
P0043,0.098983,0.081756,0.083438,0.034277,0.019507,0.134529
P0044,0.125457,0.103920,0.099676,0.026699,0.026771,0.161592
P0045,0.148442,0.105828,0.079384,0.046291,0.028281,0.147298
P0046,0.122997,0.098429,0.080341,0.025355,0.022420,0.159181
P0047,0.147202,0.082165,0.098406,0.035621,0.019104,0.136449
P0048,0.123136,0.092917,0.089359,0.036717,0.019557,0.160856
P0049,0.141877,0.107218,0.083996,0.035121,0.022922,0.144099
P0050,0.139022,0.074607,0.080205,0.032470,0.021394,0.158601
P0051,0.104700,0.100547,0.088559,0.029691,0.016563,0.159279
P0052,0.114009,0.091746,0.085062,0.038128,0.019108,0.154287
P0053,0.098419,0.086394,0.087428,0.030701,0.028297,0.151287
P0054,0.105473,0.107096,0.073832,0.032371,0.020114,0.138377
P0055,0.100442,0.100307,0.071956,0.046486,0.023168,0.134262
P0056,0.123578,0.084860,0.087088,0.037580,0.019081,0.143207
