phone_id,hinge_gap,left_support_gap,right_support_gap,torsion_delta,panel_flushness,adhesive_thickness
P0001,0.174237,0.157172,0.080899,0.027204,0.020714,0.156189
P0002,0.109016,0.071015,0.155188,0.112648,0.016562,0.147597
P0003,0.105768,0.083780,0.071215,0.030066,0.103167,0.102860
P0004,0.109038,0.081038,0.078521,0.027084,0.017366,0.153552
P0005,0.187907,0.151210,0.085992,0.030947,0.020470,0.156822
P0006,0.106194,0.073217,0.156223,0.115948,0.021841,0.150562
P0007,0.095699,0.076053,0.074587,0.028227,0.107166,0.096325
P0008,0.091724,0.075424,0.079351,0.025621,0.022074,0.159689
P0009,0.197371,0.138358,0.089635,0.033010,0.020182,0.158376
P0010,0.107376,0.073664,0.138338,0.106274,0.018576,0.145402
P0011,0.107518,0.086506,0.070420,0.034664,0.088447,0.115124
P0012,0.097973,0.080957,0.071311,0.028910,0.016492,0.151100
P0013,0.199257,0.148818,0.086961,0.029806,0.020646,0.159667
P0014,0.103057,0.089961,0.144996,0.122940,0.019078,0.145606
P0015,0.097613,0.078221,0.082036,0.026476,0.101847,0.100915
P0016,0.100515,0.083502,0.088161,0.029180,0.016796,0.142934
P0017,0.212421,0.156064,0.071349,0.034686,0.018302,0.143087
P0018,0.099121,0.079862,0.156904,0.127644,0.020460,0.148811
P0019,0.090333,0.077932,0.073124,0.025897,0.101323,0.103536
P0020,0.097088,0.087320,0.071657,0.029877,0.021707,0.150639
P0021,0.197363,0.148336,0.071908,0.028258,0.023821,0.155450
P0022,0.098062,0.074005,0.167180,0.125400,0.020022,0.149816
P0023,0.097068,0.088513,0.083299,0.030493,0.079374,0.116498
P0024,0.106718,0.087205,0.084998,0.030344,0.017105,0.155993
