phone_id,noise_type_label,label_source
P0001,type_1,synthetic_rule
P0002,type_2,synthetic_rule
P0003,type_3,synthetic_rule
P0004,normal,synthetic_rule
P0005,type_1,synthetic_rule
P0007,type_3,synthetic_rule
P0008,normal,synthetic_rule
P0009,type_1,synthetic_rule
P0010,type_2,synthetic_rule
P0012,normal,synthetic_rule
P0013,type_1,synthetic_rule
P0015,type_3,synthetic_rule
P0017,type_1,synthetic_rule
P0018,type_2,synthetic_rule
P0020,normal,synthetic_rule
P0021,type_1,synthetic_rule
P0022,type_2,synthetic_rule
P0023,type_3,synthetic_rule
