phone_id,model_id,batch_id,vendor_id,structure_version,material_version
P0001,M1,B1,V1,S1,MAT1
P0002,M2,B2,V2,S2,MAT2
P0003,M1,B3,V1,S1,MAT3
P0004,M2,B1,V2,S2,MAT1
P0005,M1,B2,V1,S1,MAT2
P0006,M2,B3,V2,S2,MAT3
P0007,M1,B1,V1,S1,MAT1
P0008,M2,B2,V2,S2,MAT2
P0009,M1,B3,V1,S1,MAT3
P0010,M2,B1,V2,S2,MAT1
P0011,M1,B2,V1,S1,MAT2
P0012,M2,B3,V2,S2,MAT3
P0013,M1,B1,V1,S1,MAT1
P0014,M2,B2,V2,S2,MAT2
P0015,M1,B3,V1,S1,MAT3
P0016,M2,B1,V2,S2,MAT1
P0017,M1,B2,V1,S1,MAT2
P0018,M2,B3,V2,S2,MAT3
P0019,M1,B1,V1,S1,MAT1
P0020,M2,B2,V2,S2,MAT2
P0021,M1,B3,V1,S1,MAT3
P0022,M2,B1,V2,S2,MAT1
P0023,M1,B2,V1,S1,MAT2
P0024,M2,B3,V2,S2,MAT3
