phone_id,direction_id,wav_path
P0001,dir_1,examples\type1_pipeline\audio\P0001_dir_1.wav
P0001,dir_2,examples\type1_pipeline\audio\P0001_dir_2.wav
P0001,dir_3,examples\type1_pipeline\audio\P0001_dir_3.wav
P0001,dir_4,examples\type1_pipeline\audio\P0001_dir_4.wav
P0002,dir_1,examples\type1_pipeline\audio\P0002_dir_1.wav
P0002,dir_2,examples\type1_pipeline\audio\P0002_dir_2.wav
P0002,dir_3,examples\type1_pipeline\audio\P0002_dir_3.wav
P0002,dir_4,examples\type1_pipeline\audio\P0002_dir_4.wav
P0003,dir_1,examples\type1_pipeline\audio\P0003_dir_1.wav
P0003,dir_2,examples\type1_pipeline\audio\P0003_dir_2.wav
P0003,dir_3,examples\type1_pipeline\audio\P0003_dir_3.wav
P0003,dir_4,examples\type1_pipeline\audio\P0003_dir_4.wav
P0004,dir_1,examples\type1_pipeline\audio\P0004_dir_1.wav
P0004,dir_2,examples\type1_pipeline\audio\P0004_dir_2.wav
P0004,dir_3,examples\type1_pipeline\audio\P0004_dir_3.wav
P0004,dir_4,examples\type1_pipeline\audio\P0004_dir_4.wav
P0005,dir_1,examples\type1_pipeline\audio\P0005_dir_1.wav
P0005,dir_2,examples\type1_pipeline\audio\P0005_dir_2.wav
P0005,dir_3,examples\type1_pipeline\audio\P0005_dir_3.wav
P0005,dir_4,examples\type1_pipeline\audio\P0005_dir_4.wav
P0006,dir_1,examples\type1_pipeline\audio\P0006_dir_1.wav
P0006,dir_2,examples\type1_pipeline\audio\P0006_dir_2.wav
P0006,dir_3,examples\type1_pipeline\audio\P0006_dir_3.wav
P0006,dir_4,examples\type1_pipeline\audio\P0006_dir_4.wav
P0007,dir_1,examples\type1_pipeline\audio\P0007_dir_1.wav
P0007,dir_2,examples\type1_pipeline\audio\P0007_dir_2.wav
P0007,dir_3,examples\type1_pipeline\audio\P0007_dir_3.wav
P0007,dir_4,examples\type1_pipeline\audio\P0007_dir_4.wav
P0008,dir_1,examples\type1_pipeline\audio\P0008_dir_1.wav
P0008,dir_2,examples\type1_pipeline\audio\P0008_dir_2.wav
P0008,dir_3,examples\type1_pipeline\audio\P0008_dir_3.wav
P0008,dir_4,examples\type1_pipeline\audio\P0008_dir_4.wav
P0009,dir_1,examples\type1_pipeline\audio\P0009_dir_1.wav
P0009,dir_2,examples\type1_pipeline\audio\P0009_dir_2.wav
P0009,dir_3,examples\type1_pipeline\audio\P0009_dir_3.wav
P0009,dir_4,examples\type1_pipeline\audio\P0009_dir_4.wav
P0010,dir_1,examples\type1_pipeline\audio\P0010_dir_1.wav
P0010,dir_2,examples\type1_pipeline\audio\P0010_dir_2.wav
P0010,dir_3,examples\type1_pipeline\audio\P0010_dir_3.wav
P0010,dir_4,examples\type1_pipeline\audio\P0010_dir_4.wav
P0011,dir_1,examples\type1_pipeline\audio\P0011_dir_1.wav
P0011,dir_2,examples\type1_pipeline\audio\P0011_dir_2.wav
P0011,dir_3,examples\type1_pipeline\audio\P0011_dir_3.wav
P0011,dir_4,examples\type1_pipeline\audio\P0011_dir_4.wav
P0012,dir_1,examples\type1_pipeline\audio\P0012_dir_1.wav
P0012,dir_2,examples\type1_pipeline\audio\P0012_dir_2.wav
P0012,dir_3,examples\type1_pipeline\audio\P0012_dir_3.wav
P0012,dir_4,examples\type1_pipeline\audio\P0012_dir_4.wav
P0013,dir_1,examples\type1_pipeline\audio\P0013_dir_1.wav
P0013,dir_2,examples\type1_pipeline\audio\P0013_dir_2.wav
P0013,dir_3,examples\type1_pipeline\audio\P0013_dir_3.wav
P0013,dir_4,examples\type1_pipeline\audio\P0013_dir_4.wav
P0014,dir_1,examples\type1_pipeline\audio\P0014_dir_1.wav
P0014,dir_2,examples\type1_pipeline\audio\P0014_dir_2.wav
P0014,dir_3,examples\type1_pipeline\audio\P0014_dir_3.wav
P0014,dir_4,examples\type1_pipeline\audio\P0014_dir_4.wav
P0015,dir_1,examples\type1_pipeline\audio\P0015_dir_1.wav
P0015,dir_2,examples\type1_pipeline\audio\P0015_dir_2.wav
P0015,dir_3,examples\type1_pipeline\audio\P0015_dir_3.wav
P0015,dir_4,examples\type1_pipeline\audio\P0015_dir_4.wav
P0016,dir_1,examples\type1_pipeline\audio\P0016_dir_1.wav
P0016,dir_2,examples\type1_pipeline\audio\P0016_dir_2.wav
P0016,dir_3,examples\type1_pipeline\audio\P0016_dir_3.wav
P0016,dir_4,examples\type1_pipeline\audio\P0016_dir_4.wav
P0017,dir_1,examples\type1_pipeline\audio\P0017_dir_1.wav
P0017,dir_2,examples\type1_pipeline\audio\P0017_dir_2.wav
P0017,dir_3,examples\type1_pipeline\audio\P0017_dir_3.wav
P0017,dir_4,examples\type1_pipeline\audio\P0017_dir_4.wav
P0018,dir_1,examples\type1_pipeline\audio\P0018_dir_1.wav
P0018,dir_2,examples\type1_pipeline\audio\P0018_dir_2.wav
P0018,dir_3,examples\type1_pipeline\audio\P0018_dir_3.wav
P0018,dir_4,examples\type1_pipeline\audio\P0018_dir_4.wav
P0019,dir_1,examples\type1_pipeline\audio\P0019_dir_1.wav
P0019,dir_2,examples\type1_pipeline\audio\P0019_dir_2.wav
P0019,dir_3,examples\type1_pipeline\audio\P0019_dir_3.wav
