phone_id,noise_type_label,label_source
P0001,type_1,synthetic_rule
P0002,normal,synthetic_rule
P0003,type_1,synthetic_rule
P0004,normal,synthetic_rule
P0005,type_1,synthetic_rule
P0006,normal,synthetic_rule
P0007,type_1,synthetic_rule
P0008,normal,synthetic_rule
P0009,type_1,synthetic_rule
P0010,normal,synthetic_rule
P0011,type_1,synthetic_rule
P0012,normal,synthetic_rule
P0013,type_1,synthetic_rule
P0014,normal,synthetic_rule
P0015,type_1,synthetic_rule
P0016,normal,synthetic_rule
P0017,type_1,synthetic_rule
P0018,normal,synthetic_rule
P0019,type_1,synthetic_rule
P0020,normal,synthetic_rule
P0021,type_1,synthetic_rule
P0022,normal,synthetic_rule
P0023,type_1,synthetic_rule
P0024,normal,synthetic_rule
